download_count,project
31361672,"opentelemetry-instrumentation-urllib3"
31251205,"ast-serialize"
31120410,"azure-monitor-opentelemetry-exporter"
31077285,"dateparser"
30926674,"azure-mgmt-core"
30729167,"torchvision"
30672510,"freezegun"
30639203,"h5py"
30637297,"jupyter-lsp"
30539708,"axiom-py"
30505105,"notebook-shim"
30494830,"mistralai"
30434089,"opentelemetry-instrumentation-psycopg2"
30384136,"mlflow-skinny"
30244650,"thrift"
30164366,"google-cloud-storage-transfer"
30140052,"pyroaring"
30013893,"opentelemetry-instrumentation-dbapi"
29938675,"moto"
29924697,"mashumaro"
29878155,"semgrep"
29874059,"google-cloud-datacatalog"
29854344,"apscheduler"
29744692,"imageio"
29655849,"mlflow"
29616806,"opentelemetry-instrumentation-wsgi"
29595985,"azure-storage-file-datalake"
29491968,"ddtrace"
29475951,"opencv-python-headless"
29452480,"limits"
29385260,"opentelemetry-instrumentation-django"
29385067,"opentelemetry-instrumentation-urllib"
29292299,"cssselect2"
29245147,"pytest-rerunfailures"
28947117,"flit-core"
28945351,"types-pytz"
28805005,"oauth2client"
28782481,"opentelemetry-instrumentation-flask"
28733497,"omegaconf"
28639142,"filetype"
28508972,"statsmodels"
28474160,"rfc3987-syntax"
28458579,"opentelemetry-instrumentation-httpx"
28375326,"trio-websocket"
28293744,"delta-spark"
28232111,"fakeredis"
28173385,"coloredlogs"
28139412,"appdirs"
28110585,"nvidia-cublas"
28098601,"peewee"
28097334,"nvidia-cudnn-cu13"
28057983,"graphql-relay"
27952279,"langchain-protocol"
27926002,"nvidia-nccl-cu13"
27918165,"graphene"
27853475,"bytecode"
27788496,"nvidia-cusparselt-cu13"
27746009,"bracex"
27375797,"python-pptx"
27323809,"ml-dtypes"
27317237,"databricks-sqlalchemy"
27193111,"envier"
27148387,"hypothesis"
27110287,"azure-storage-queue"
27036734,"patsy"
26977480,"elastic-transport"
26916665,"html5lib"
26879049,"readme-renderer"
26747631,"uv-build"
26685378,"nvidia-cuda-nvrtc"
26635942,"nvidia-nvshmem-cu13"
26482172,"nvidia-cufft"
26473101,"retrying"
26472209,"nvidia-cusolver"
26429730,"nvidia-cusparse"
26384557,"entrypoints"
26320405,"pandas-gbq"
26307936,"wcmatch"
26289591,"openai-agents"
26283951,"cuda-toolkit"
26276005,"posthog"
26270863,"zope-event"
26263711,"nvidia-curand"
26244520,"retry"
26120837,"pyright"
25993577,"natsort"
25967969,"nvidia-nvjitlink"
25930498,"nvidia-cuda-cupti"
25918926,"strictyaml"
25896848,"nvidia-cuda-runtime"
25829663,"mergedeep"
25777057,"frozendict"
25760533,"phonenumbers"
25750678,"aioboto3"
25673295,"snowballstemmer"
25670865,"yamllint"
25619926,"nvidia-cufile"
25586096,"pycountry"
25569274,"dbt-protos"
25517243,"ninja"
25453168,"passlib"
25444821,"junitparser"
25365372,"nvidia-nvtx"
25331413,"stripe"
25321051,"pytest-metadata"
25320120,"google-cloud-firestore"
25208243,"swebench"
24967021,"twine"
24828125,"pdfplumber"
24824262,"validators"
24659942,"stevedore"
24618779,"types-cachetools"
24604460,"tldextract"
24585298,"typer-slim"
24494577,"pydantic-evals"
24475320,"flask-sqlalchemy"
24374011,"sentencepiece"
24343887,"agate"
24309283,"time-machine"
24140318,"hyperlink"
24134414,"opentelemetry-instrumentation-logging"
23978410,"pytimeparse"
23938765,"mypy-boto3-s3"
23886898,"lockfile"
23810773,"types-setuptools"
23798621,"realtime"
23699451,"events"
23656534,"parsedatetime"
23525131,"crc32c"
23450817,"aiohttp-retry"
23444264,"simple-salesforce"
23242549,"apache-airflow-providers-fab"
23239554,"astor"
23202582,"great-expectations"
23192851,"unidecode"
23181729,"openapi-schema-validator"
23110287,"id"
23066303,"msrestazure"
23044680,"hvac"
23023514,"pyotp"
23023180,"lazy-loader"
23022099,"datadog-api-client"
22975917,"google-pasta"
22919363,"temporalio"
22893058,"google-cloud-dataproc"
22787049,"streamlit"
22765821,"tblib"
22744209,"nvidia-cublas-cu12"
22710651,"holidays"
22685933,"llama-cloud"
22641442,"sshtunnel"
22584109,"google-cloud-dataplex"
22555483,"ty"
22446476,"curl-cffi"
22326883,"scikit-image"
22316521,"imagesize"
22135024,"py-cpuinfo"
22092815,"sqlalchemy-utils"
22090324,"griffe"
22065305,"pbr"
22027892,"nvidia-cuda-nvrtc-cu12"
21941010,"nvidia-cudnn-cu12"
21937684,"nvidia-cusparse-cu12"
21920916,"mock"
21865599,"qdrant-client"
21859856,"sphinxcontrib-serializinghtml"
21856809,"opentelemetry-distro"
21790772,"pydata-google-auth"
21773800,"keyrings-google-artifactregistry-auth"
21733451,"nvidia-nvjitlink-cu12"
21725369,"cramjam"
21657300,"nvidia-cufft-cu12"
21608845,"nvidia-cusolver-cu12"
21590521,"pyphen"
21587778,"asyncio"
21554946,"nvidia-curand-cu12"
21508642,"weasel"
21440985,"nvidia-cuda-cupti-cu12"
21371479,"sendgrid"
21228548,"pydeck"
21223977,"grpc-interceptor"
21164903,"langchain-google-vertexai"
21144333,"azure-batch"
21142694,"av"
21131610,"dbt-semantic-interfaces"
21051636,"schema"
20969418,"python-http-client"
20935232,"flask-login"
20919175,"sentence-transformers"
20882916,"alabaster"
20853230,"eval-type-backport"
20803346,"wandb"
20707165,"inflect"
20565709,"pybind11"
20493464,"fastapi-cloud-cli"
20271777,"nvidia-cuda-runtime-cu12"
20269775,"gcloud-aio-bigquery"
20259122,"python-magic"
20213336,"leather"
20165831,"supabase"
20138936,"deltalake"
20129551,"fire"
20097332,"dbt-extractor"
19995856,"license-expression"
19981047,"strenum"
19961581,"boolean-py"
19860358,"weasyprint"
19778172,"sphinxcontrib-qthelp"
19756301,"sphinxcontrib-htmlhelp"
19742791,"tensorboard"
19724898,"jpype1"
19713426,"accelerate"
19709819,"sphinxcontrib-applehelp"
19690452,"pymdown-extensions"
19688107,"sphinxcontrib-devhelp"
19663713,"pytest-runner"
19663413,"userpath"
19658602,"dask"
19654939,"mysqlclient"
19642117,"pypdf2"
19611125,"pycares"
19607694,"azure-cosmos"
19585070,"click-option-group"
19486240,"oracledb"
19379338,"nvidia-nvtx-cu12"
19365460,"aiodns"
19361496,"pgvector"
19314746,"pip-tools"
19299452,"djangorestframework"
19280058,"sphinxcontrib-jsmath"
19213839,"google-cloud-alloydb"
19187628,"clickhouse-connect"
19119052,"requests-mock"
19102211,"testcontainers"
19087921,"json-repair"
19077570,"storage3"
19048138,"yandexcloud"
19043475,"hiredis"
19032135,"prek"
19029680,"nexus-rpc"
18980726,"aws-requests-auth"
18960645,"bitarray"
18867611,"kafka-python"
18866986,"bandit"
18853336,"bidict"
18850885,"types-urllib3"
18786166,"tifffile"
18757348,"postgrest"
18736713,"flask-limiter"
18634516,"thinc"
18514503,"psycopg-pool"
18496571,"youtube-transcript-api"
18369605,"pybase64"
18345103,"tree-sitter-javascript"
18341061,"zopfli"
18257523,"packageurl-python"
18176309,"cyclonedx-python-lib"
18121050,"opt-einsum"
18084474,"einops"
18053914,"ua-parser"
17915470,"types-paramiko"
17849188,"cached-property"
17847817,"cron-descriptor"
17823604,"rignore"
17712483,"cloudpathlib"
17697696,"opencensus"
17667226,"pyproj"
17605942,"bs4"
17573759,"py-serializable"
17545055,"opencensus-context"
17528845,"apache-airflow-providers-http"
17478353,"daff"
17475682,"sagemaker"
17465663,"kubernetes-asyncio"
17464613,"apache-airflow-providers-databricks"
17456000,"types-deprecated"
17385975,"langfuse"
17361056,"jira"
17344443,"pybreaker"
17330757,"pytest-html"
17225687,"pydyf"
17187311,"cssselect"
17142837,"py-spy"
17114240,"factory-boy"
17053348,"pipenv"
17004531,"azure-mgmt-resource"
16992305,"tensorflow"
16976634,"jax"
16965542,"sqlalchemy-spanner"
16916411,"azure-servicebus"
16884783,"azure-datalake-store"
16880663,"tree-sitter-c-sharp"
16862426,"fastar"
16857947,"pkgutil-resolve-name"
16855966,"aws-xray-sdk"
16838776,"argparse"
16822693,"qrcode"
16781902,"watchtower"
16730129,"supabase-functions"
16722444,"onnx"
16719538,"rich-argparse"
16699758,"python-socketio"
16642879,"python-engineio"
16642866,"nvidia-ml-py"
16578250,"simple-websocket"
16577512,"apache-airflow-providers-common-compat"
16543467,"supabase-auth"
16538494,"aws-lambda-powertools"
16501554,"python-gitlab"
16501346,"pytest-env"
16493320,"apache-airflow"
16423395,"texttable"
16408828,"apache-airflow-providers-snowflake"
16405054,"python-daemon"
16353881,"spacy"
16250080,"oscrypto"
16228184,"jwcrypto"
16168257,"preshed"
16158240,"types-cffi"
16142296,"pytzdata"
16117315,"jsii"
16099612,"gql"
16096155,"google-cloud-build"
16068954,"jsonpath-python"
16052157,"pydub"
16032905,"levenshtein"
15889158,"logfire"
15876987,"pip-requirements-parser"
15836679,"pathlib-abc"
15832459,"pyathena"
15829311,"catalogue"
15824904,"srsly"
15818676,"xarray"
15812281,"databricks-labs-blueprint"
15801827,"pyspnego"
15777764,"keras"
15758189,"browser-use"
15751151,"hatch"
15720100,"flask-wtf"
15700923,"jsonpickle"
15699750,"lupa"
15678176,"progressbar2"
15659790,"murmurhash"
15617817,"types-redis"
15606691,"python-utils"
15522670,"nvidia-cusparselt-cu12"
15511612,"twilio"
15492091,"tinyhtml5"
15426518,"snowplow-tracker"
15377815,"blis"
15359968,"maxminddb"
